Date,Hour,Temperature (°C),Humidity (%),Wind Speed (km/h),Rain (mm),Public Holiday,Real Estate Development Index,Seasonal Factor,Day of Week,Historical Demand (MW)
2024-01-01,0,28,85,11,0.0,No,1.299405980610039,Winter,Monday,1124
2024-01-01,1,21,49,5,0.0,No,1.117278279642432,Winter,Monday,1312
2024-01-01,2,5,66,4,0.0,No,1.4044089342808652,Winter,Monday,802
2024-01-01,3,37,38,0,0.0,No,1.064105988105022,Winter,Monday,901
2024-01-01,4,23,65,4,0.0,No,1.1426009639513657,Winter,Monday,675
2024-01-01,5,43,35,2,0.5,No,1.0284813995337037,Winter,Monday,668
2024-01-01,6,43,60,9,0.0,No,1.111065229785157,Winter,Monday,582
2024-01-01,7,28,61,13,1.0,No,1.2830269351947623,Winter,Monday,1589
2024-01-01,8,24,86,13,0.0,No,1.2178968381845074,Winter,Monday,745
2024-01-01,9,6,71,5,1.0,No,1.274266683583794,Winter,Monday,1208
2024-01-01,10,6,59,6,0.0,No,1.3739696908193813,Winter,Monday,867
2024-01-01,11,7,63,13,1.0,No,1.4193615999976656,Winter,Monday,1007
2024-01-01,12,41,48,8,5.0,No,1.0379205677746235,Winter,Monday,782
2024-01-01,13,27,78,14,5.0,No,1.2244995585869187,Winter,Monday,964
2024-01-01,14,22,60,7,0.0,No,1.2262948383599341,Winter,Monday,175
2024-01-01,15,17,45,5,0.0,No,1.331957944869171,Winter,Monday,2553
2024-01-01,16,38,60,4,0.5,No,1.0684295239638157,Winter,Monday,2398
2024-01-01,17,5,69,7,0.0,No,1.033999361347945,Winter,Monday,2199
2024-01-01,18,28,85,10,5.0,No,1.1170982078789187,Winter,Monday,2391
2024-01-01,19,9,77,1,5.0,No,1.10405388374024,Winter,Monday,1071
2024-01-01,20,17,54,12,5.0,No,1.4754223966747835,Winter,Monday,954
2024-01-01,21,15,46,13,0.0,No,1.2050238528737933,Winter,Monday,1497
2024-01-01,22,36,73,13,0.5,No,1.3530006534691368,Winter,Monday,1898
2024-01-01,23,8,61,7,0.0,Yes,1.096046677979342,Winter,Monday,2535
2024-01-02,0,15,43,5,5.0,No,1.450153762735768,Winter,Tuesday,1050
2024-01-02,1,16,50,13,5.0,No,1.3769464382245187,Winter,Tuesday,695
2024-01-02,2,10,62,6,0.0,No,1.1892610915306565,Winter,Tuesday,1215
2024-01-02,3,42,53,8,0.0,No,1.4965768296904929,Winter,Tuesday,602
2024-01-02,4,15,68,6,0.0,No,1.0185921237927622,Winter,Tuesday,1093
2024-01-02,5,10,81,6,5.0,No,1.085155657787999,Winter,Tuesday,1238
2024-01-02,6,20,61,5,0.5,No,1.0827005893871444,Winter,Tuesday,581
2024-01-02,7,21,40,14,5.0,No,1.4384462048904163,Winter,Tuesday,623
2024-01-02,8,22,46,6,0.0,No,1.2683803266897111,Winter,Tuesday,619
2024-01-02,9,21,33,10,0.0,No,1.246678716618565,Winter,Tuesday,610
2024-01-02,10,28,60,2,0.0,No,1.1655139510919446,Winter,Tuesday,249
2024-01-02,11,42,37,12,0.0,Yes,1.4259633804704757,Winter,Tuesday,860
2024-01-02,12,14,38,9,0.0,No,1.026824032052378,Winter,Tuesday,816
2024-01-02,13,36,47,8,0.0,No,1.1989138570894942,Winter,Tuesday,1474
2024-01-02,14,18,40,11,5.0,No,1.1739018225621396,Winter,Tuesday,1126
2024-01-02,15,28,87,13,0.0,No,1.3219020929908112,Winter,Tuesday,2032
2024-01-02,16,17,61,7,1.0,Yes,1.2476635496382098,Winter,Tuesday,3118
2024-01-02,17,35,53,5,1.0,No,1.474142930861045,Winter,Tuesday,2516
2024-01-02,18,40,32,8,0.0,No,1.1996134082681416,Winter,Tuesday,2641
2024-01-02,19,12,56,0,0.0,No,1.0903677463166774,Winter,Tuesday,1047
2024-01-02,20,15,37,4,5.0,No,1.1359481915946066,Winter,Tuesday,1189
2024-01-02,21,16,47,8,0.0,No,1.4651158125922081,Winter,Tuesday,795
2024-01-02,22,22,81,12,0.0,No,1.0304676667780983,Winter,Tuesday,1867
2024-01-02,23,32,63,1,1.0,No,1.033583639929816,Winter,Tuesday,2299
2024-01-03,0,41,42,8,0.0,No,1.4553636904129745,Winter,Wednesday,1169
2024-01-03,1,28,39,0,1.0,No,1.1079267577011245,Winter,Wednesday,944
2024-01-03,2,41,63,7,0.0,No,1.0059350581627367,Winter,Wednesday,695
2024-01-03,3,8,60,14,5.0,No,1.4543596023030407,Winter,Wednesday,547
2024-01-03,4,9,74,8,0.0,No,1.1052674998903436,Winter,Wednesday,1275
2024-01-03,5,30,40,8,5.0,No,1.285888992299013,Winter,Wednesday,1031
2024-01-03,6,26,36,14,0.0,No,1.029723943489141,Winter,Wednesday,715
2024-01-03,7,30,65,7,0.0,No,1.1589455181675186,Winter,Wednesday,879
2024-01-03,8,14,43,13,1.0,No,1.2120355947067836,Winter,Wednesday,515
2024-01-03,9,36,88,8,0.5,No,1.2901885630232839,Winter,Wednesday,1076
2024-01-03,10,30,61,0,0.0,No,1.063624141908167,Winter,Wednesday,875
2024-01-03,11,26,77,8,0.5,No,1.4925785378406349,Winter,Wednesday,859
2024-01-03,12,12,87,0,0.5,No,1.393552856554521,Winter,Wednesday,744
2024-01-03,13,13,61,2,0.5,No,1.2352870765069888,Winter,Wednesday,977
2024-01-03,14,37,33,1,0.0,No,1.2299155960363444,Winter,Wednesday,1354
2024-01-03,15,41,38,6,0.0,No,1.377909643160939,Winter,Wednesday,2472
2024-01-03,16,41,79,6,1.0,Yes,1.128592247606882,Winter,Wednesday,2919
2024-01-03,17,33,43,1,0.0,Yes,1.0783320491213169,Winter,Wednesday,3060
2024-01-03,18,32,78,7,5.0,No,1.0686161001486874,Winter,Wednesday,2259
2024-01-03,19,9,44,3,0.5,No,1.404364030209686,Winter,Wednesday,727
2024-01-03,20,20,42,14,0.5,No,1.303988734208632,Winter,Wednesday,829
2024-01-03,21,10,59,8,0.0,No,1.222260420077835,Winter,Wednesday,1345
2024-01-03,22,6,62,2,5.0,Yes,1.222588899876261,Winter,Wednesday,1904
2024-01-03,23,15,55,6,0.0,No,1.370186191375682,Winter,Wednesday,2264
2024-01-04,0,30,48,1,1.0,No,1.0233427131596775,Winter,Thursday,659
2024-01-04,1,15,59,13,0.0,No,1.019320497311182,Winter,Thursday,729
2024-01-04,2,40,51,5,0.5,No,1.0473991693897715,Winter,Thursday,1154
2024-01-04,3,44,86,5,0.5,No,1.1132811918152146,Winter,Thursday,584
2024-01-04,4,38,59,12,5.0,No,1.0332592513882095,Winter,Thursday,1277
